numDots,subdomainLevel,pathLevel,urlLength,numDash,numUnderscore,numPercent,numQueryComponents,numApersand,numDigits,https,ipAddress,hostnameLength,pathLength,queryLength,type
0.08,0.05555555555555555,0.0,0.012048192771084338,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0013245033112582781,0.0,0.0
0.04,0.0,0.1111111111111111,0.016300496102055282,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0125,0.02913907284768212,0.0,0.0
0.08,0.05555555555555555,0.1111111111111111,0.0148830616583983,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,1.0,0.0,0.04166666666666667,0.017218543046357615,0.0,1.0
0.08,0.05555555555555555,0.1111111111111111,0.018426647767540754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02119205298013245,0.0,1.0
0.12,0.05555555555555555,0.1111111111111111,0.04748405386250887,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05416666666666667,0.07417218543046358,0.0,1.0
0.04,0.0,0.0,0.012756909992912829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07916666666666666,0.0013245033112582781,0.0,0.0
0.08,0.05555555555555555,0.05555555555555555,0.033309709425939055,0.0,0.0,0.006802721088435374,0.0,0.0,0.006024096385542169,1.0,0.0,0.12916666666666668,0.023841059602649005,0.0,0.0
0.08,0.0,0.1111111111111111,0.015591778880226791,0.0,0.0,0.0,0.0,0.0,0.009036144578313254,0.0,0.0,0.037500000000000006,0.019867549668874173,0.0,0.0
0.04,0.0,0.2777777777777778,0.02338766832034019,0.02564102564102564,0.0,0.0,0.0,0.0,0.021084337349397592,0.0,0.0,0.03333333333333334,0.03576158940397351,0.0,0.0
0.12,0.05555555555555555,0.1111111111111111,0.021970233876683204,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04583333333333334,0.02913907284768212,0.0,1.0
0.08,0.05555555555555555,0.2777777777777778,0.054571226080793775,0.1794871794871795,0.0,0.0,0.0,0.0,0.024096385542168676,0.0,0.0,0.07916666666666666,0.07947019867549669,0.0,0.0
0.08,0.0,0.05555555555555555,0.043231750531537924,0.0,0.0,0.006802721088435374,0.07142857142857142,0.037037037037037035,0.006024096385542169,1.0,0.0,0.05,0.011920529801324502,0.029538904899135444,0.0
0.04,0.0,0.2222222222222222,0.07866761162296244,0.3333333333333333,0.0,0.0,0.0,0.0,0.042168674698795185,1.0,0.0,0.029166666666666664,0.1403973509933775,0.0,0.0
0.16,0.0,0.05555555555555555,0.015591778880226791,0.0,0.0,0.0,0.0,0.0,0.05120481927710844,0.0,1.0,0.07083333333333333,0.009271523178807948,0.0,1.0
0.16,0.0,0.2222222222222222,0.039688164422395464,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.024999999999999998,0.06887417218543046,0.0,1.0
0.08,0.05555555555555555,0.0,0.010630758327427357,0.02564102564102564,0.0,0.0,0.0,0.0,0.0030120481927710845,0.0,0.0,0.06666666666666667,0.0013245033112582781,0.0,0.0
0.16,0.05555555555555555,0.16666666666666666,0.043231750531537924,0.0,0.0,0.0,0.03571428571428571,0.0,0.015060240963855422,0.0,0.0,0.058333333333333334,0.038410596026490065,0.013688760806916426,1.0
0.12,0.05555555555555555,0.16666666666666666,0.04961020552799433,0.07692307692307693,0.0,0.0,0.0,0.0,0.006024096385542169,0.0,0.0,0.04166666666666667,0.08211920529801324,0.0,1.0
0.08,0.05555555555555555,0.05555555555555555,0.019135364989369245,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,1.0,0.0,0.04583333333333334,0.005298013245033113,0.009365994236311239,1.0
0.08,0.0,0.38888888888888884,0.14599574769666904,0.07692307692307693,0.75,0.0,0.21428571428571427,0.18518518518518517,0.16566265060240964,1.0,0.0,0.03333333333333334,0.11655629139072848,0.07997118155619597,1.0
0.04,0.0,0.1111111111111111,0.04748405386250887,0.1794871794871795,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04166666666666667,0.0781456953642384,0.0,0.0
0.12,0.0,0.1111111111111111,0.0963855421686747,0.02564102564102564,0.1,0.0,0.14285714285714285,0.1111111111111111,0.01807228915662651,0.0,0.0,0.03333333333333334,0.02781456953642384,0.07780979827089336,0.0
0.08,0.0,0.1111111111111111,0.015591778880226791,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.024999999999999998,0.023841059602649005,0.0,0.0
0.12,0.05555555555555555,0.16666666666666666,0.021261516654854713,0.0,0.0,0.0,0.0,0.0,0.024096385542168676,0.0,0.0,0.08333333333333334,0.015894039735099338,0.0,1.0
0.04,0.0,0.05555555555555555,0.018426647767540754,0.0,0.0,0.0,0.03571428571428571,0.0,0.009036144578313254,0.0,0.0,0.06666666666666667,0.007947019867549669,0.0036023054755043226,0.0
0.08,0.05555555555555555,0.05555555555555555,0.019844082211197732,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.018543046357615896,0.0,1.0
0.04,0.0,0.2777777777777778,0.044649184975194905,0.1282051282051282,0.0,0.0,0.0,0.0,0.030120481927710843,1.0,0.0,0.058333333333333334,0.06754966887417219,0.0,0.0
0.16,0.05555555555555555,0.2222222222222222,0.03260099220411056,0.0,0.0,0.0,0.0,0.0,0.0391566265060241,0.0,0.0,0.10833333333333334,0.02913907284768212,0.0,1.0
0.04,0.0,0.0,0.009922041105598866,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0625,0.0013245033112582781,0.0,0.0
