numDots,subdomainLevel,pathLevel,urlLength,numDash,numUnderscore,numPercent,numQueryComponents,numApersand,numDigits,https,ipAddress,hostnameLength,pathLength,queryLength,type
3,2,4,84,1,1,0,2,1,7,1,0,18,27,31,0
1,0,4,51,0,0,0,0,0,0,1,0,8,36,0,0
3,1,3,55,0,1,0,0,0,0,0,0,14,34,0,1
2,0,1,69,6,0,0,0,0,0,0,0,15,47,0,0
2,1,1,30,0,0,0,0,0,0,0,0,16,7,0,0
3,0,2,31,0,0,0,0,0,10,0,1,12,12,0,1
3,1,0,51,0,0,0,0,0,4,0,0,44,0,0,1
3,0,2,151,0,4,0,4,3,26,0,0,22,18,103,1
1,0,2,104,9,0,0,0,0,2,0,0,8,89,0,0
5,2,3,49,0,0,0,0,0,10,0,0,17,25,0,1
9,6,2,115,0,0,9,1,0,15,0,0,46,9,52,1
1,0,2,33,0,0,0,0,0,1,1,0,12,13,0,1
1,0,1,38,0,0,0,1,0,1,1,0,11,6,13,0
5,1,1,116,0,3,0,4,3,4,0,0,20,14,74,1
1,0,0,22,0,0,0,0,0,0,0,0,14,1,0,0
5,1,4,183,0,0,2,5,4,37,0,0,26,27,122,1
2,1,2,37,0,0,0,0,0,0,1,0,16,14,0,0
2,0,2,40,0,0,0,0,0,8,1,0,12,20,0,1
3,0,3,48,0,0,0,0,0,2,0,0,23,18,0,1
3,1,1,44,0,0,0,1,0,1,0,0,19,10,7,1
2,0,4,58,0,0,0,0,0,0,0,0,17,33,0,1
2,0,2,45,4,0,0,0,0,7,0,0,7,31,0,0
1,0,3,57,4,0,0,0,0,6,1,0,13,37,0,0
1,0,1,81,0,0,21,0,0,26,0,1,9,65,0,1
2,1,0,40,0,0,0,0,0,3,0,0,33,0,0,1
3,1,2,52,0,0,0,0,0,0,1,0,18,27,0,1
2,0,3,115,0,0,8,0,0,30,0,0,15,93,0,0
1,0,0,25,0,0,0,0,0,0,0,0,18,0,0,1
3,0,3,102,0,0,0,1,0,22,0,0,10,29,11,1
1,0,0,30,0,0,0,0,0,0,0,0,23,0,0,1
2,0,2,63,0,0,0,3,2,2,1,0,12,22,21,0
2,0,3,64,6,0,0,0,0,6,0,0,12,45,0,1
3,0,2,116,0,2,0,2,1,23,0,0,15,22,71,1
2,0,2,54,0,1,0,0,0,16,1,0,12,34,0,1
1,0,1,26,0,0,0,0,0,0,1,0,12,7,0,0
2,1,4,71,0,0,0,0,0,0,0,0,25,39,0,1
4,0,2,37,0,0,0,0,0,13,0,1,14,16,0,1
2,0,1,37,1,0,0,0,0,0,0,0,10,20,0,0
3,0,1,94,0,2,0,6,5,9,0,0,13,10,63,1
1,0,4,59,1,0,0,0,0,6,1,0,14,38,0,0
1,0,0,21,0,0,0,0,0,0,0,0,14,0,0,1
2,0,1,55,0,0,0,1,0,0,0,0,20,20,7,0
1,0,1,22,0,0,0,0,0,0,1,0,6,9,0,0
2,0,2,40,0,1,0,0,0,0,1,0,13,20,0,0
3,1,1,50,0,1,0,1,0,0,1,0,18,7,17,1
1,0,1,94,0,8,0,0,0,0,0,0,37,50,0,0
2,1,1,38,0,0,0,0,0,0,0,0,25,6,0,1
1,0,5,49,1,0,0,0,0,6,0,0,12,30,0,0
5,1,5,77,0,0,0,0,0,0,0,0,21,49,0,0
3,1,1,85,0,1,0,4,3,4,0,0,20,10,47,1
3,0,1,70,0,3,0,2,1,4,0,0,13,26,23,1
3,0,2,151,0,4,0,4,3,28,0,0,22,18,103,1
1,0,1,39,2,0,0,0,0,6,1,0,13,19,0,0
1,0,2,52,1,0,0,0,0,0,0,0,14,31,0,0
2,1,1,37,0,0,0,0,0,0,1,0,22,8,0,1
3,0,2,32,0,0,0,0,0,13,0,1,15,10,0,1
1,0,2,40,1,0,0,0,0,0,1,0,14,19,0,0
3,1,0,37,0,0,0,0,0,0,0,0,29,1,0,0
2,1,4,49,2,0,0,0,0,1,0,0,10,32,0,0
3,2,1,32,0,0,0,0,0,0,1,0,17,8,0,1
1,0,0,28,1,0,0,0,0,0,0,0,21,0,0,1
2,1,2,32,0,0,0,0,0,0,1,0,16,9,0,1
8,6,1,64,0,0,0,0,0,0,0,0,48,9,0,0
1,0,2,35,1,0,0,0,0,0,1,0,11,17,0,0
2,1,2,55,4,0,0,0,0,4,1,0,21,27,0,0
4,1,3,169,1,1,1,0,0,40,0,0,27,135,0,0
1,0,3,64,0,0,0,3,2,4,0,0,10,17,29,1
3,0,2,49,2,0,0,0,0,3,0,0,15,27,0,0
1,0,1,29,0,0,0,0,0,0,0,0,11,11,0,0
1,0,0,55,1,0,0,1,0,0,0,0,21,1,25,0
3,1,1,75,1,0,0,3,2,1,0,0,23,16,28,1
3,0,1,30,0,0,0,0,0,17,0,1,21,2,0,1
6,2,2,288,0,0,18,5,4,43,1,0,21,12,247,1
2,0,1,32,0,0,0,0,0,5,0,0,14,11,0,0
1,0,0,21,0,0,0,0,0,0,0,0,14,0,0,1
2,1,2,46,1,0,0,0,0,0,1,0,24,15,0,0
4,0,1,48,1,0,0,1,0,7,0,0,11,13,16,0
3,1,2,76,1,0,0,0,0,23,0,0,20,48,0,1
